fid,field_1,acceptedNa,acceptedSc,acceptedTa,accessRigh,adm1,adm2,associated,associat_1,basisOfRec,catalogNum,class,classKey,cloc,collection,collecti_1,collecti_2,continent,coordinate,coordina_1,country,crawlId,dataGenera,datasetID,datasetKey,datasetNam,dateIdenti,day,dispositio,dynamicPro,elevation,elevationA,endDayOfYe,establishm,eventDate,eventID,eventTime,family,familyKey,fieldNumbe,footprintW,fullCountr,gbifID,genericNam,genus,genusKey,geodeticDa,georeferen,georefer_1,georefer_2,georefer_3,habitat,higherClas,higherGeog,hostingOrg,http_//unk,http_//u_1,http_//u_2,http_//u_3,http_//u_4,http_//u_5,http_//u_6,identifica,identifi_1,identifi_2,identified,identifier,inCluster,individual,informatio,installati,institutio,institut_1,institut_2,isInCluste,island,islandGrou,ISO2,iucnRedLis,key,kingdom,kingdomKey,language,lastCrawle,lastInterp,lastParsed,lat,license,lifeStage,locality,locationAc,locationID,locationRe,lon,materialSa,modified,month,municipali,nameAccord,nomenclatu,occurrence,occurren_1,occurren_2,order,orderKey,organismID,organismNa,organismRe,originalNa,otherCatal,ownerInsti,phylum,phylumKey,preparatio,programmeA,projectId,protocol,publishing,publishi_1,recordedBy,recordNumb,references,rightsHold,samplingPr,scientific,scientif_1,species,speciesKey,specificEp,startDayOf,taxonConce,taxonID,taxonKey,taxonomicS,taxonRank,taxonRemar,type,typeStatus,verbatimEl,verbatimEv,verbatimLo,vernacular,waterBody,year,downloadDa
11,1108,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Texas,NA,NA,NA,HUMAN_OBSERVATION,"2368228",Gastropoda,225,"Texas, United States",Observations,NA,NA,NA,NA,"5",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,NA,"8",NA,NA,NA,NA,NA,NA,2015-11-08T11:40:31,NA,17:40:31Z,Veronicellidae,6526,NA,NA,United States of America,1211994687.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,cullen,NA,NA,NA,NA,NA,NA,NA,NA,"2368228",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,1211994687.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:19:42.090+00:00,2022-02-20T00:19:42.090+00:00,25.850940000000001,http://creativecommons.org/publicdomain/zero/1.0/legalcode,NA,NA,NA,NA,NA,-97.418970000000002,NA,2019-08-11T19:03:07.000+00:00,"11",NA,NA,NA,http://www.inaturalist.org/observations/2368228,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Cullen Hanks,NA,https://www.inaturalist.org/observations/2368228,Cullen Hanks,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,Sun Nov 08 2015 11:40:31 GMT-0600 (CST),"Cameron County, US-TX, US",NA,NA,"2015",2022-02-20
12,1109,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Texas,NA,NA,NA,HUMAN_OBSERVATION,"2362899",Gastropoda,225,"Texas, United States",Observations,NA,NA,NA,NA,NA,United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2017-08-08T14:27:05,"8",NA,NA,NA,NA,NA,NA,2015-11-08T13:41:16,NA,18:41:16Z,Veronicellidae,6526,NA,NA,United States of America,1571058565.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,maractwin,NA,NA,NA,NA,"15432150",NA,NA,Susan J. Hewitt,"2362899",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,1571058565.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:19:18.640+00:00,2022-02-20T00:19:18.640+00:00,25.850890000000000,http://creativecommons.org/licenses/by/4.0/legalcode,NA,NA,NA,NA,NA,-97.418859999999995,NA,2019-10-30T04:15:04.000+00:00,"11",NA,NA,NA,http://www.inaturalist.org/observations/2362899,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Mark Rosenstein,NA,https://www.inaturalist.org/observations/2362899,Mark Rosenstein,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,2015-11-08 13:41:16,"Cameron, Matamoros, Texas, United States",NA,NA,"2015",2022-02-20
13,1065,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Manu'a,NA,NA,NA,HUMAN_OBSERVATION,"8935622",Gastropoda,225,"Manu'a, American Samoa",Observations,NA,NA,NA,NA,"10",American Samoa,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2017-11-26T02:09:16,"15",NA,NA,NA,NA,NA,NA,2017-09-15T00:07:42,NA,07:07:42Z,Veronicellidae,6526,NA,NA,American Samoa,2294703106.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,danielgeorge,NA,NA,NA,NA,"19157850",NA,NA,Susan J. Hewitt,"8935622",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,AS,NE,2294703106.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:46:30.025+00:00,2022-02-20T00:46:30.025+00:00,-14.184139999999999,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-169.667100000000005,NA,2020-11-23T08:28:24.000+00:00,"9",NA,NA,NA,https://www.inaturalist.org/observations/8935622,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Daniel George,NA,https://www.inaturalist.org/observations/8935622,Daniel George,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,Fri Sep 15 2017 00:07:42 GMT-0700 (PDT),"Route 020, Ofu, AS, AS",NA,NA,"2017",2022-02-20
14,3,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Hawaii,NA,NA,NA,HUMAN_OBSERVATION,"104253400",Gastropoda,225,"Hawaii, United States",Observations,NA,NA,NA,NA,NA,United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-01-03T07:28:05,"2",NA,NA,NA,NA,NA,NA,2022-01-02T20:52:27,NA,06:52:27Z,Veronicellidae,6526,NA,NA,United States of America,3455742198.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,emilynhansen,NA,NA,NA,NA,"229426711",NA,NA,Emily,"104253400",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3455742198.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:26:53.387+00:00,2022-02-20T00:26:53.387+00:00,20.941589000000000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-156.691298999999987,NA,2022-01-03T19:56:15.000+00:00,"1",NA,NA,NA,https://www.inaturalist.org/observations/104253400,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Emily,NA,https://www.inaturalist.org/observations/104253400,Emily,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,2022-01-02 20:52:27,"Kaanapali, HI 96761, USA",NA,NA,"2022",2022-02-20
15,6,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Hawaii,NA,NA,NA,HUMAN_OBSERVATION,"104364611",Gastropoda,225,"Hawaii, United States",Observations,NA,NA,NA,NA,"127",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-01-04T20:46:17,"4",NA,NA,NA,NA,NA,NA,2022-01-04T10:46:07,NA,20:46:07Z,Veronicellidae,6526,NA,NA,United States of America,3456418681.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,biolobri,NA,NA,NA,NA,"229744638",NA,NA,Brianne Kenny,"104364611",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3456418681.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:25:39.788+00:00,2022-02-20T00:25:39.788+00:00,21.004760999999998,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-156.650680999999992,NA,2022-01-06T22:35:19.000+00:00,"1",NA,NA,NA,https://www.inaturalist.org/observations/104364611,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Brianne Kenny,NA,https://www.inaturalist.org/observations/104364611,Brianne Kenny,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,Tue Jan 04 2022 10:46:07 GMT -1000 (HST),Lahaina,NA,NA,"2022",2022-02-20
16,14,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Hawaii,NA,NA,NA,HUMAN_OBSERVATION,"104367139",Gastropoda,225,"Hawaii, United States",Observations,NA,NA,NA,NA,"9",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-01-04T21:34:00,"4",NA,NA,NA,NA,NA,NA,2022-01-04T10:25:56,NA,20:25:56Z,Veronicellidae,6526,NA,NA,United States of America,3457120930.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,bobthomson,NA,NA,NA,NA,"229753412",NA,NA,Bob Thomson,"104367139",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3457120930.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:27:35.405+00:00,2022-02-20T00:27:35.405+00:00,21.291722000000000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-157.669052999999991,NA,2022-01-06T22:39:11.000+00:00,"1",NA,NA,NA,https://www.inaturalist.org/observations/104367139,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Bob Thomson,NA,https://www.inaturalist.org/observations/104367139,Bob Thomson,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,Tue Jan 04 2022 10:25:56 GMT-1000 (HST),"O<U+02BB>ahu, East Honolulu, HI, US",NA,NA,"2022",2022-02-20
17,23,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Hawaii,NA,NA,NA,HUMAN_OBSERVATION,"106032277",Gastropoda,225,"Hawaii, United States",Observations,NA,NA,NA,NA,NA,United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-02-02T19:25:46,"1",NA,NA,NA,NA,NA,NA,2022-02-01T09:22:00,NA,17:22:00Z,Veronicellidae,6526,NA,NA,United States of America,3466418143.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,anudibranchmom,NA,NA,NA,NA,"234958017",NA,NA,Robin Gwen Agarwal,"106032277",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3466418143.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:26:37.683+00:00,2022-02-20T00:26:37.683+00:00,19.646362000000000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-155.986002000000013,NA,2022-02-03T02:04:38.000+00:00,"2",NA,NA,NA,https://www.inaturalist.org/observations/106032277,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Robin Gwen Agarwal,NA,https://www.inaturalist.org/observations/106032277,Robin Gwen Agarwal,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,2022/02/01 9:22 AM PST,"Kailua-Kona, HI, USA",NA,NA,"2022",2022-02-20
18,42,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Hawaii,NA,NA,NA,HUMAN_OBSERVATION,"68135963",Gastropoda,225,"Hawaii, United States",Observations,NA,NA,NA,NA,NA,United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-01-16T15:29:13,"5",NA,NA,NA,NA,NA,NA,2021-01-05T16:40:00,NA,23:40:00Z,Veronicellidae,6526,NA,NA,United States of America,3032002961.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,andybridges,NA,NA,NA,NA,"150776012",NA,NA,Yan Cai,"68135963",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3032002961.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:37:33.485+00:00,2022-02-20T00:37:33.485+00:00,19.976828000000001,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-155.230922999999990,NA,2021-02-06T19:01:33.000+00:00,"1",NA,NA,NA,https://www.inaturalist.org/observations/68135963,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Andy Bridges,NA,https://www.inaturalist.org/observations/68135963,Andy Bridges,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,2021/01/05 4:40 PM MST,"Laupahoehoe, HI 96764, USA",NA,NA,"2021",2022-02-20
19,48,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Hawaii,NA,NA,NA,HUMAN_OBSERVATION,"68636163",Gastropoda,225,"Hawaii, United States",Observations,NA,NA,NA,NA,"10",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-01-26T10:43:51,"26",NA,NA,NA,NA,NA,NA,2021-01-26T00:43:36,NA,10:43:36Z,Veronicellidae,6526,NA,NA,United States of America,3032147830.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,nicki1114,NA,NA,NA,NA,"152169365",NA,NA,nicki1114,"68636163",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3032147830.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T01:05:20.012+00:00,2022-02-20T01:05:20.012+00:00,20.759232000000001,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-156.458652999999998,NA,2021-02-06T18:59:23.000+00:00,"1",NA,NA,NA,https://www.inaturalist.org/observations/68636163,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,nicki1114,NA,https://www.inaturalist.org/observations/68636163,nicki1114,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,Tue Jan 26 2021 00:43:36 GMT-1000 (HST),"Maui, Kihei, HI, US",NA,NA,"2021",2022-02-20
20,58,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Hawaii,NA,NA,NA,HUMAN_OBSERVATION,"71029834",Gastropoda,225,"Hawaii, United States",Observations,NA,NA,NA,NA,"10",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-03-11T23:36:03,"11",NA,NA,NA,NA,NA,NA,2021-03-11T13:00:36,NA,23:00:36Z,Veronicellidae,6526,NA,NA,United States of America,3058991182.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,mdparker,NA,NA,NA,NA,"158988273",NA,NA,mdparker,"71029834",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3058991182.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:24:22.373+00:00,2022-02-20T00:24:22.373+00:00,21.076764000000001,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-156.988067000000001,NA,2021-03-12T16:25:32.000+00:00,"3",NA,NA,NA,https://www.inaturalist.org/observations/71029834,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,mdparker,NA,https://www.inaturalist.org/observations/71029834,mdparker,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,Thu Mar 11 2021 13:00:36 GMT-1000 (HST),"Moloka<U+02BB>i, Kaunakakai, HI, US",NA,NA,"2021",2022-02-20
21,62,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Hawaii,NA,NA,NA,HUMAN_OBSERVATION,"71195674",Gastropoda,225,"Hawaii, United States",Observations,NA,NA,NA,NA,"329",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-03-14T06:12:58,"13",NA,NA,NA,NA,NA,NA,2021-03-13T20:11:21,NA,06:11:21Z,Veronicellidae,6526,NA,NA,United States of America,3061522771.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,ribbon11,NA,NA,NA,NA,"159386769",NA,NA,ribbon11,"71195674",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3061522771.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:52:21.985+00:00,2022-02-20T00:52:21.985+00:00,19.736308000000001,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-156.041602000000012,NA,2021-03-16T09:00:46.000+00:00,"3",NA,NA,NA,https://www.inaturalist.org/observations/71195674,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,ribbon11,NA,https://www.inaturalist.org/observations/71195674,ribbon11,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,Sat Mar 13 2021 20:11:21 GMT-1000 (HST),"Ellison Onizuka Kona International Airport at Keahole, Kailua Kona, HI, US",NA,NA,"2021",2022-02-20
22,63,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Hawaii,NA,NA,NA,HUMAN_OBSERVATION,"71116451",Gastropoda,225,"Hawaii, United States",Observations,NA,NA,NA,NA,"1",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-03-13T07:19:52,"5",NA,NA,NA,NA,NA,NA,2021-03-05T17:42:00,NA,23:42:00Z,Veronicellidae,6526,NA,NA,United States of America,3061564717.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,hubertszcz,NA,NA,NA,NA,"159208767",NA,NA,Hubert Szczygiel,"71116451",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3061564717.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:21:35.806+00:00,2022-02-20T00:21:35.806+00:00,21.388839000000001,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-157.749040000000008,NA,2021-03-13T13:21:28.000+00:00,"3",NA,NA,NA,https://www.inaturalist.org/observations/71116451,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Hubert Szczygiel,NA,https://www.inaturalist.org/observations/71116451,Hubert Szczygiel,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,2021/03/05 5:42 PM CST,"Maunawili, HI 96734, USA",NA,NA,"2021",2022-02-20
23,75,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Hawaii,NA,NA,NA,HUMAN_OBSERVATION,"71856596",Gastropoda,225,"Hawaii, United States",Observations,NA,NA,NA,NA,"21",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-03-23T06:11:12,"22",NA,NA,NA,NA,NA,NA,2021-03-22T19:14:36,NA,05:14:36Z,Veronicellidae,6526,NA,NA,United States of America,3067874644.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,chemartin,NA,NA,NA,NA,"160983572",NA,NA,chemartin,"71856596",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3067874644.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:21:56.080+00:00,2022-02-20T00:21:56.080+00:00,20.653946999999999,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-156.441544999999991,NA,2021-04-15T02:04:47.000+00:00,"3",NA,NA,NA,https://www.inaturalist.org/observations/71856596,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,chemartin,NA,https://www.inaturalist.org/observations/71856596,chemartin,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,Mon Mar 22 2021 19:14:36 GMT-1000 (HST),"Makena Bay, Wailea, HI, US",NA,NA,"2021",2022-02-20
24,122,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Hawaii,NA,NA,NA,HUMAN_OBSERVATION,"76793150",Gastropoda,225,"Hawaii, United States",Observations,NA,NA,NA,NA,NA,United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-05-03T01:55:59,"2",NA,NA,NA,NA,NA,NA,2021-05-02T13:27:00,NA,13:27:00Z,Veronicellidae,6526,NA,NA,United States of America,3112589701.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,bibmik,NA,NA,NA,NA,"170661967",NA,NA,bibmik,"76793150",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3112589701.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:40:19.137+00:00,2022-02-20T00:40:19.137+00:00,20.986716999999999,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-156.644889000000006,NA,2021-05-11T15:44:08.000+00:00,"5",NA,NA,NA,https://www.inaturalist.org/observations/76793150,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,bibmik,NA,https://www.inaturalist.org/observations/76793150,bibmik,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,2021/05/02 1:27 PM UTC,"Maui County, HI, USA",NA,NA,"2021",2022-02-20
